Crime_ID,Crime_Type,Time_of_Happening,Location,Day_of_Week,Severity,Reported_Time,Nearby_Landmark,Frequency_in_Last_30_Days
24,Sexual Harassment,08:00,"Karawal Nagar (28.4911, 77.2241)",Wednesday,Minor,01:05,School,21
25,Stalking,12:50,"Delhi Cantonment (28.5165, 76.9193)",Friday,Severe,07:02,Apartment Complex,0
26,Human Trafficking,04:52,"Mandoli (28.7854, 77.2354)",Sunday,Minor,11:50,Market,7
27,Dowry Death,03:35,"Gokal Pur (28.7814, 77.0084)",Sunday,Minor,15:32,Mall,21
28,Honor Killing,21:30,"Burari (28.4319, 77.1969)",Friday,Moderate,12:11,Police Station,8
29,Human Trafficking,06:34,"Hastsal (28.664, 77.1236)",Friday,Moderate,06:11,Temple,10
30,Sexual Harassment,19:14,"Sultan Pur Majra (28.7593, 77.009)",Wednesday,Severe,07:50,Police Station,26
31,Dowry Death,18:06,"Delhi Cantonment (28.5455, 77.0252)",Wednesday,Moderate,10:48,Park,1
32,Domestic Violence,04:11,"Mustafabad (28.7397, 76.8081)",Sunday,Minor,15:33,Park,20
33,Sexual Harassment,17:55,"Kirari Suleman Nagar (28.8763, 77.2981)",Thursday,Moderate,01:38,Police Station,21
34,Honor Killing,18:06,"Deoli (28.4137, 77.2577)",Tuesday,Moderate,06:37,Mall,4
35,Human Trafficking,20:43,"Dallo Pura (28.8784, 77.0404)",Monday,Minor,19:54,Hospital,17
36,Honor Killing,13:15,"Deoli (28.8988, 76.8195)",Saturday,Moderate,13:37,Temple,18
37,Acid Attack,21:49,"Nangloi Jat (28.4148, 77.1561)",Sunday,Minor,14:27,Apartment Complex,32
38,Domestic Violence,09:49,"Sultan Pur Majra (28.4812, 76.8326)",Wednesday,Severe,04:23,Apartment Complex,25
39,Human Trafficking,12:13,"Bhalswa Jahangir Pur (28.7554, 77.1477)",Monday,Moderate,10:07,Temple,22
40,Human Trafficking,06:39,"Karawal Nagar (28.5192, 76.9402)",Sunday,Minor,05:59,Apartment Complex,35
41,Domestic Violence,12:56,"Burari (28.5397, 77.1804)",Saturday,Moderate,08:13,School,48
42,Human Trafficking,03:42,"Dallo Pura (28.717, 76.949)",Friday,Minor,19:57,Police Station,30
43,Acid Attack,04:45,"Sultan Pur Majra (28.8809, 77.2704)",Sunday,Severe,21:12,Hospital,44
44,Dowry Death,12:28,"Gokal Pur (28.8665, 76.8875)",Saturday,Severe,05:43,Hospital,0
45,Acid Attack,18:57,"Karawal Nagar (28.5875, 76.9369)",Sunday,Moderate,23:41,Apartment Complex,3
46,Dowry Death,11:46,"Bhalswa Jahangir Pur (28.4056, 76.9036)",Wednesday,Moderate,13:22,Mall,3
47,Dowry Death,00:08,"Sultan Pur Majra (28.8333, 76.9861)",Thursday,Severe,05:22,Temple,20
48,Eve Teasing,05:15,"Nangloi Jat (28.5055, 76.8861)",Friday,Minor,20:09,School,24
49,Sexual Harassment,21:58,"Delhi Cantonment (28.7374, 76.9548)",Thursday,Moderate,15:25,Park,15
50,Dowry Death,05:27,"Gokal Pur (28.4199, 77.175)",Monday,Moderate,01:59,Mall,9
51,Domestic Violence,09:16,"Delhi Cantonment (28.6988, 76.8935)",Friday,Severe,07:30,Market,22
52,Domestic Violence,20:22,"Burari (28.8841, 77.084)",Thursday,Moderate,07:16,Hospital,17
53,Acid Attack,17:14,"Burari (28.5227, 77.0441)",Monday,Severe,04:58,Hospital,1
54,Eve Teasing,21:47,"Bhalswa Jahangir Pur (28.8492, 77.0696)",Thursday,Moderate,03:28,Mall,2
55,Acid Attack,16:44,"Deoli (28.8724, 76.9212)",Thursday,Moderate,15:08,Mall,40
56,Domestic Violence,16:47,"Karawal Nagar (28.8466, 77.2683)",Monday,Minor,15:55,Market,3
57,Eve Teasing,05:11,"Bhalswa Jahangir Pur (28.8224, 77.1268)",Saturday,Severe,08:13,Mall,13
58,Acid Attack,21:26,"Mandoli (28.7273, 76.8147)",Monday,Moderate,18:52,Police Station,33
59,Honor Killing,20:43,"Mandoli (28.415, 76.8712)",Thursday,Minor,03:47,Apartment Complex,15
60,Stalking,00:53,"Karawal Nagar (28.8094, 76.9674)",Wednesday,Severe,21:17,Temple,49
61,Domestic Violence,20:35,"Mandoli (28.8396, 77.1362)",Monday,Moderate,00:40,Police Station,5
62,Honor Killing,02:26,"Delhi Cantonment (28.5211, 77.1805)",Wednesday,Minor,21:54,Apartment Complex,40
63,Dowry Death,14:14,"Kirari Suleman Nagar (28.8033, 77.2483)",Thursday,Severe,20:43,Apartment Complex,33
64,Human Trafficking,21:19,"Gokal Pur (28.6015, 77.2572)",Monday,Minor,12:52,Apartment Complex,45
65,Sexual Harassment,00:06,"Mandoli (28.6077, 76.9013)",Tuesday,Severe,04:14,Temple,20
66,Eve Teasing,05:42,"Mustafabad (28.8224, 76.8536)",Saturday,Moderate,22:57,Market,43
67,Sexual Harassment,17:16,"Hastsal (28.7497, 77.1404)",Thursday,Minor,16:06,Mall,49
68,Domestic Violence,20:38,"Sultan Pur Majra (28.8385, 77.0073)",Monday,Moderate,23:27,Temple,7
69,Honor Killing,21:03,"Bhalswa Jahangir Pur (28.6102, 76.8838)",Thursday,Minor,15:58,Hospital,41
70,Human Trafficking,00:05,"Gokal Pur (28.8522, 76.9334)",Thursday,Severe,18:04,Police Station,25
71,Acid Attack,22:11,"Dallo Pura (28.8495, 77.1486)",Friday,Minor,11:57,Apartment Complex,4
72,Human Trafficking,20:51,"Gokal Pur (28.433, 77.2735)",Thursday,Minor,22:26,Temple,33
73,Acid Attack,13:48,"Kirari Suleman Nagar (28.7757, 77.1537)",Tuesday,Severe,07:50,Park,1
74,Eve Teasing,13:48,"Karawal Nagar (28.8191, 77.2354)",Monday,Minor,04:39,Police Station,47
75,Human Trafficking,10:10,"Deoli (28.8994, 76.9455)",Monday,Moderate,20:11,Market,47
76,Human Trafficking,06:02,"Delhi Cantonment (28.4666, 77.2086)",Thursday,Minor,01:00,Police Station,25
77,Human Trafficking,01:13,"Nangloi Jat (28.5746, 77.0892)",Thursday,Minor,09:35,School,15
78,Honor Killing,01:53,"Mandoli (28.442, 77.0258)",Tuesday,Moderate,05:59,Police Station,41
79,Eve Teasing,00:03,"Hastsal (28.5253, 77.1839)",Sunday,Moderate,08:15,Hospital,1
80,Dowry Death,04:06,"Delhi Cantonment (28.7902, 77.2731)",Sunday,Severe,10:16,Police Station,33
81,Human Trafficking,20:58,"Mustafabad (28.6831, 77.0389)",Monday,Minor,16:05,Market,50
82,Human Trafficking,08:16,"Sultan Pur Majra (28.8225, 77.2244)",Monday,Severe,15:11,Apartment Complex,33
83,Honor Killing,20:02,"Mandoli (28.5037, 76.9361)",Thursday,Moderate,08:47,Park,14
84,Dowry Death,23:32,"Kirari Suleman Nagar (28.6814, 76.9)",Friday,Severe,10:43,Police Station,23
85,Acid Attack,14:11,"Burari (28.4288, 76.9692)",Monday,Severe,14:48,Park,11
86,Sexual Harassment,07:37,"Mustafabad (28.5487, 76.8868)",Wednesday,Severe,12:39,Mall,33
87,Stalking,22:24,"Karawal Nagar (28.6837, 77.2224)",Saturday,Moderate,18:09,Hospital,4
88,Dowry Death,19:07,"Kirari Suleman Nagar (28.5284, 76.9658)",Wednesday,Moderate,15:04,Market,47
89,Eve Teasing,12:20,"Karawal Nagar (28.5022, 76.8706)",Monday,Moderate,14:14,Temple,3
90,Stalking,03:39,"Gokal Pur (28.5832, 77.2591)",Tuesday,Moderate,23:26,Apartment Complex,30
91,Human Trafficking,10:33,"Karawal Nagar (28.8226, 77.1677)",Thursday,Severe,13:27,Park,32
92,Acid Attack,23:21,"Kirari Suleman Nagar (28.7574, 77.0848)",Saturday,Minor,15:34,Park,47
93,Honor Killing,08:10,"Bhalswa Jahangir Pur (28.6076, 77.246)",Monday,Minor,14:49,School,8
94,Domestic Violence,15:04,"Gokal Pur (28.6219, 77.2854)",Sunday,Severe,19:47,School,43
95,Sexual Harassment,20:36,"Bhalswa Jahangir Pur (28.6912, 77.2106)",Monday,Severe,10:52,Park,17
96,Eve Teasing,16:02,"Burari (28.401, 76.8738)",Monday,Severe,06:02,School,27
97,Stalking,18:11,"Delhi Cantonment (28.6085, 76.9808)",Saturday,Moderate,06:50,Temple,38
98,Acid Attack,12:08,"Deoli (28.8104, 76.8914)",Wednesday,Severe,14:29,Police Station,10
99,Human Trafficking,00:00,"Mustafabad (28.4042, 77.0445)",Monday,Minor,08:09,Hospital,4
100,Dowry Death,05:29,"Karawal Nagar (28.4714, 77.1017)",Saturday,Severe,09:22,Police Station,43
101,Honor Killing,01:15,"Mustafabad (28.5319, 76.9629)",Friday,Severe,16:58,Apartment Complex,50
102,Acid Attack,13:44,"Deoli (28.6091, 76.875)",Monday,Severe,18:57,Park,9
103,Stalking,15:25,"Dallo Pura (28.4023, 77.2178)",Wednesday,Moderate,19:06,Market,10
104,Eve Teasing,02:09,"Dallo Pura (28.4814, 76.9265)",Thursday,Severe,10:00,Park,13
105,Acid Attack,20:37,"Bhalswa Jahangir Pur (28.6757, 77.2084)",Saturday,Severe,12:30,Police Station,36
106,Honor Killing,23:15,"Gokal Pur (28.82, 77.1078)",Wednesday,Moderate,20:59,Park,14
107,Sexual Harassment,11:57,"Hastsal (28.8163, 77.1096)",Wednesday,Severe,17:14,Apartment Complex,25
108,Stalking,23:49,"Bhalswa Jahangir Pur (28.5957, 77.0557)",Tuesday,Severe,03:26,School,6
109,Stalking,09:53,"Mustafabad (28.8006, 77.0281)",Thursday,Minor,09:07,Police Station,42
110,Dowry Death,19:13,"Delhi Cantonment (28.6813, 77.2157)",Saturday,Severe,22:07,Hospital,27
111,Stalking,06:36,"Sultan Pur Majra (28.6255, 77.1356)",Sunday,Minor,11:32,Police Station,9
112,Honor Killing,02:39,"Sultan Pur Majra (28.5965, 77.2435)",Monday,Minor,07:58,Hospital,15
113,Honor Killing,20:51,"Mandoli (28.8678, 77.2343)",Thursday,Minor,15:33,Temple,39
114,Sexual Harassment,05:12,"Nangloi Jat (28.546, 76.8703)",Tuesday,Moderate,06:43,Mall,48
115,Human Trafficking,21:10,"Gokal Pur (28.7843, 76.8391)",Saturday,Minor,05:11,School,46
116,Domestic Violence,07:39,"Burari (28.8688, 77.0206)",Wednesday,Moderate,10:09,Park,25
117,Stalking,23:27,"Delhi Cantonment (28.6405, 77.1008)",Wednesday,Moderate,17:25,School,39
118,Dowry Death,19:13,"Mustafabad (28.8817, 77.1417)",Thursday,Minor,14:09,Hospital,45
119,Dowry Death,10:27,"Dallo Pura (28.6254, 76.965)",Tuesday,Moderate,04:28,Temple,9
120,Stalking,12:52,"Nangloi Jat (28.6452, 77.1453)",Saturday,Moderate,04:37,Apartment Complex,9
121,Acid Attack,21:52,"Gokal Pur (28.6799, 76.9997)",Saturday,Severe,19:57,Police Station,14
122,Stalking,05:18,"Dallo Pura (28.6937, 77.0312)",Sunday,Severe,16:15,Market,49
123,Sexual Harassment,03:16,"Burari (28.8009, 77.202)",Wednesday,Minor,22:14,Temple,50
124,Honor Killing,02:04,"Sultan Pur Majra (28.4736, 76.9334)",Sunday,Severe,11:57,Park,43
125,Honor Killing,22:22,"Mustafabad (28.7882, 77.2444)",Friday,Severe,09:41,Apartment Complex,44
126,Acid Attack,20:32,"Burari (28.8055, 77.2233)",Thursday,Severe,14:33,Hospital,48
127,Honor Killing,00:47,"Delhi Cantonment (28.8503, 77.0321)",Wednesday,Minor,07:38,Apartment Complex,33
128,Stalking,03:11,"Kirari Suleman Nagar (28.7044, 77.2007)",Sunday,Minor,02:23,Apartment Complex,41
129,Dowry Death,17:00,"Nangloi Jat (28.538, 76.8028)",Friday,Severe,06:59,Apartment Complex,18
130,Dowry Death,01:21,"Hastsal (28.5792, 77.1715)",Tuesday,Moderate,03:15,Mall,45
131,Dowry Death,07:10,"Gokal Pur (28.616, 76.8871)",Friday,Moderate,01:32,Police Station,4
132,Honor Killing,19:59,"Dallo Pura (28.4173, 76.9732)",Sunday,Severe,22:10,Temple,6
133,Sexual Harassment,22:44,"Mandoli (28.7343, 77.0883)",Wednesday,Moderate,04:33,Hospital,45
134,Domestic Violence,13:23,"Delhi Cantonment (28.7495, 77.049)",Saturday,Moderate,02:20,Mall,14
135,Eve Teasing,12:03,"Deoli (28.4898, 77.2409)",Saturday,Severe,20:03,Mall,22
136,Dowry Death,14:30,"Sultan Pur Majra (28.8054, 77.1045)",Saturday,Moderate,17:28,Temple,14
137,Eve Teasing,05:13,"Sultan Pur Majra (28.4908, 77.1684)",Tuesday,Moderate,09:04,Mall,10
138,Honor Killing,04:59,"Kirari Suleman Nagar (28.6846, 76.8567)",Sunday,Severe,12:55,Park,50
139,Honor Killing,05:19,"Bhalswa Jahangir Pur (28.4274, 77.026)",Friday,Severe,01:20,Temple,15
140,Sexual Harassment,03:27,"Dallo Pura (28.5709, 76.8761)",Friday,Moderate,06:26,Park,21
141,Acid Attack,02:56,"Gokal Pur (28.4735, 77.1782)",Tuesday,Severe,06:08,Park,1
142,Acid Attack,16:11,"Sultan Pur Majra (28.6357, 77.1285)",Monday,Minor,04:45,Police Station,44
143,Dowry Death,01:07,"Delhi Cantonment (28.7904, 77.2915)",Monday,Severe,23:13,Hospital,9
144,Stalking,09:25,"Mustafabad (28.4573, 77.2258)",Tuesday,Minor,01:14,Police Station,27
145,Domestic Violence,13:34,"Mustafabad (28.8774, 77.1548)",Tuesday,Severe,02:57,Park,28
146,Stalking,06:22,"Mandoli (28.6891, 77.1275)",Tuesday,Minor,21:31,Market,21
147,Stalking,07:00,"Delhi Cantonment (28.7712, 76.9426)",Friday,Minor,20:07,School,24
148,Human Trafficking,11:11,"Delhi Cantonment (28.8472, 77.0407)",Monday,Moderate,04:31,Market,11
149,Acid Attack,19:44,"Nangloi Jat (28.8251, 77.1032)",Thursday,Severe,22:56,Hospital,15
150,Stalking,10:28,"Sultan Pur Majra (28.4218, 77.1191)",Monday,Moderate,16:42,Apartment Complex,28
151,Dowry Death,20:52,"Burari (28.5913, 77.2174)",Tuesday,Minor,15:39,Park,29
152,Domestic Violence,06:30,"Sultan Pur Majra (28.6978, 77.277)",Saturday,Minor,01:08,Market,3
153,Honor Killing,23:39,"Dallo Pura (28.7172, 77.2824)",Saturday,Minor,13:55,Hospital,16
154,Stalking,19:57,"Hastsal (28.4201, 76.9881)",Friday,Minor,13:03,Market,28
155,Eve Teasing,11:52,"Karawal Nagar (28.847, 77.1141)",Friday,Moderate,14:53,Apartment Complex,40
156,Honor Killing,10:39,"Deoli (28.475, 77.0933)",Thursday,Moderate,11:53,School,39
157,Honor Killing,16:55,"Bhalswa Jahangir Pur (28.5106, 77.2497)",Saturday,Severe,10:14,Apartment Complex,33
158,Eve Teasing,20:24,"Hastsal (28.4051, 76.8316)",Friday,Moderate,20:03,Park,17
159,Eve Teasing,10:06,"Karawal Nagar (28.4154, 77.0231)",Thursday,Moderate,22:05,School,30
160,Honor Killing,10:11,"Mustafabad (28.5894, 76.8386)",Thursday,Minor,20:30,Park,20
161,Sexual Harassment,17:02,"Burari (28.7034, 76.9731)",Monday,Severe,00:49,Police Station,0
162,Sexual Harassment,10:34,"Mustafabad (28.7811, 77.0364)",Friday,Moderate,22:24,Apartment Complex,41
163,Honor Killing,01:24,"Nangloi Jat (28.4622, 77.0873)",Saturday,Severe,11:12,School,7
164,Sexual Harassment,11:26,"Nangloi Jat (28.6086, 77.1379)",Monday,Moderate,13:57,Police Station,23
165,Human Trafficking,09:29,"Bhalswa Jahangir Pur (28.7055, 76.9998)",Monday,Severe,15:24,Mall,2
166,Eve Teasing,03:36,"Mustafabad (28.6423, 77.1224)",Thursday,Moderate,07:21,Mall,37
167,Acid Attack,23:32,"Hastsal (28.5791, 77.218)",Saturday,Moderate,09:56,Police Station,21
168,Eve Teasing,14:10,"Mandoli (28.8941, 77.0654)",Thursday,Moderate,11:57,Temple,45
169,Acid Attack,16:15,"Mustafabad (28.64, 77.0448)",Saturday,Moderate,13:03,Market,5
170,Honor Killing,06:18,"Delhi Cantonment (28.5848, 76.882)",Monday,Severe,17:51,Apartment Complex,9
171,Eve Teasing,00:21,"Nangloi Jat (28.5092, 76.8173)",Tuesday,Severe,19:04,Temple,19
172,Sexual Harassment,20:58,"Nangloi Jat (28.5386, 77.2112)",Sunday,Severe,17:20,Hospital,0
173,Sexual Harassment,03:19,"Dallo Pura (28.8865, 77.0977)",Wednesday,Severe,07:13,School,49
174,Domestic Violence,19:20,"Mustafabad (28.5616, 76.8125)",Sunday,Severe,14:17,Park,42
175,Eve Teasing,01:32,"Mandoli (28.5255, 76.8568)",Monday,Severe,04:51,Market,4
176,Honor Killing,22:23,"Bhalswa Jahangir Pur (28.4451, 76.8097)",Thursday,Severe,14:32,Apartment Complex,28
177,Eve Teasing,10:40,"Dallo Pura (28.5618, 76.95)",Monday,Severe,11:17,Temple,2
178,Honor Killing,17:54,"Hastsal (28.7147, 77.1395)",Monday,Moderate,18:09,School,32
179,Honor Killing,14:51,"Burari (28.8202, 77.155)",Sunday,Severe,21:18,Market,33
180,Acid Attack,02:49,"Sultan Pur Majra (28.8291, 76.9828)",Friday,Moderate,18:43,Apartment Complex,11
181,Human Trafficking,17:28,"Kirari Suleman Nagar (28.4377, 77.297)",Monday,Severe,23:27,School,26
182,Acid Attack,03:01,"Sultan Pur Majra (28.4063, 77.0626)",Thursday,Severe,08:23,Market,48
183,Eve Teasing,07:52,"Hastsal (28.8119, 77.0667)",Monday,Minor,20:20,Apartment Complex,39
184,Eve Teasing,15:01,"Sultan Pur Majra (28.7171, 77.172)",Thursday,Severe,03:59,Apartment Complex,23
185,Honor Killing,18:05,"Karawal Nagar (28.7575, 77.0247)",Thursday,Moderate,16:31,Market,15
186,Stalking,14:43,"Karawal Nagar (28.6986, 76.9819)",Thursday,Moderate,18:08,Police Station,4
187,Acid Attack,03:23,"Hastsal (28.8827, 77.1472)",Saturday,Minor,13:29,Hospital,29
188,Human Trafficking,03:28,"Dallo Pura (28.8503, 76.8044)",Thursday,Moderate,17:31,Mall,31
189,Honor Killing,10:08,"Mandoli (28.4531, 76.8993)",Friday,Minor,06:27,Mall,12
190,Sexual Harassment,16:28,"Deoli (28.6865, 77.1463)",Saturday,Severe,03:10,Police Station,43
191,Human Trafficking,20:13,"Sultan Pur Majra (28.4123, 76.9887)",Friday,Moderate,08:06,Mall,13
192,Eve Teasing,21:01,"Nangloi Jat (28.7231, 77.2161)",Wednesday,Moderate,04:36,Market,35
193,Human Trafficking,17:44,"Hastsal (28.7779, 76.8209)",Wednesday,Severe,23:23,School,41
194,Domestic Violence,01:44,"Kirari Suleman Nagar (28.5152, 77.0554)",Friday,Severe,22:52,Market,12
195,Sexual Harassment,02:43,"Karawal Nagar (28.5338, 77.0069)",Wednesday,Severe,12:34,Market,20
196,Stalking,03:37,"Delhi Cantonment (28.7197, 77.2025)",Friday,Moderate,12:09,Market,43
197,Stalking,14:36,"Karawal Nagar (28.4074, 76.8824)",Friday,Minor,23:21,Temple,23
198,Eve Teasing,15:29,"Nangloi Jat (28.8582, 77.0625)",Saturday,Moderate,20:34,Temple,9
199,Acid Attack,20:38,"Dallo Pura (28.7436, 76.8932)",Saturday,Moderate,16:18,Police Station,38
200,Acid Attack,05:23,"Bhalswa Jahangir Pur (28.7075, 77.0518)",Sunday,Moderate,05:28,Temple,5
201,Stalking,12:41,"Bhalswa Jahangir Pur (28.6208, 77.2471)",Wednesday,Severe,15:59,Temple,38
202,Stalking,09:36,"Kirari Suleman Nagar (28.6495, 76.8351)",Tuesday,Minor,11:48,Hospital,28
203,Acid Attack,06:27,"Karawal Nagar (28.8102, 77.2361)",Friday,Moderate,16:33,Police Station,23
204,Stalking,11:39,"Hastsal (28.6748, 77.0763)",Thursday,Minor,05:18,Police Station,47
205,Honor Killing,12:50,"Sultan Pur Majra (28.5874, 77.292)",Monday,Moderate,00:28,Hospital,29
206,Stalking,13:13,"Gokal Pur (28.7054, 77.1089)",Thursday,Minor,14:49,Mall,10
207,Dowry Death,09:44,"Nangloi Jat (28.6413, 76.8558)",Thursday,Severe,06:57,Temple,6
208,Acid Attack,02:54,"Mustafabad (28.6734, 77.0454)",Thursday,Minor,22:18,Park,30
209,Dowry Death,21:44,"Bhalswa Jahangir Pur (28.5189, 77.0543)",Friday,Minor,16:53,Police Station,43
210,Domestic Violence,01:03,"Gokal Pur (28.6837, 77.241)",Wednesday,Moderate,10:52,Temple,19
211,Acid Attack,23:04,"Delhi Cantonment (28.5702, 77.1197)",Sunday,Minor,04:06,School,17
212,Sexual Harassment,04:09,"Mustafabad (28.6407, 76.8145)",Tuesday,Minor,01:37,Temple,16
213,Honor Killing,05:20,"Sultan Pur Majra (28.4813, 76.9174)",Wednesday,Moderate,21:27,Hospital,2
214,Acid Attack,14:08,"Sultan Pur Majra (28.6417, 77.0851)",Tuesday,Moderate,19:51,Park,21
215,Eve Teasing,16:53,"Nangloi Jat (28.7348, 76.8916)",Friday,Severe,15:09,Mall,23
216,Human Trafficking,21:15,"Mustafabad (28.8342, 77.0392)",Saturday,Severe,03:00,Park,43
217,Acid Attack,04:40,"Karawal Nagar (28.6225, 76.9644)",Sunday,Severe,13:43,Hospital,19
218,Eve Teasing,21:15,"Nangloi Jat (28.5026, 77.2098)",Tuesday,Severe,01:52,Market,19
219,Acid Attack,01:06,"Kirari Suleman Nagar (28.6032, 77.068)",Tuesday,Severe,15:51,Mall,8
220,Honor Killing,10:28,"Mandoli (28.7042, 76.9471)",Tuesday,Severe,03:04,Hospital,34
221,Eve Teasing,19:55,"Karawal Nagar (28.4623, 77.0539)",Tuesday,Minor,20:16,Park,5
222,Acid Attack,06:49,"Dallo Pura (28.5907, 76.9799)",Friday,Moderate,22:49,Temple,6
223,Eve Teasing,11:44,"Hastsal (28.7199, 77.0542)",Monday,Severe,09:52,School,37
224,Honor Killing,05:34,"Nangloi Jat (28.4119, 77.1259)",Monday,Severe,04:50,Apartment Complex,32
225,Stalking,02:11,"Sultan Pur Majra (28.7708, 77.2381)",Tuesday,Minor,21:44,School,16
226,Dowry Death,14:06,"Hastsal (28.6515, 77.2289)",Saturday,Moderate,15:22,Apartment Complex,28
227,Honor Killing,07:21,"Nangloi Jat (28.4968, 76.8054)",Saturday,Moderate,02:02,Park,45
228,Dowry Death,21:00,"Gokal Pur (28.457, 77.0411)",Sunday,Severe,04:57,Apartment Complex,17
229,Eve Teasing,01:22,"Mustafabad (28.6087, 76.9655)",Thursday,Minor,02:58,Police Station,10
230,Dowry Death,21:31,"Karawal Nagar (28.6864, 77.1469)",Wednesday,Severe,09:57,Hospital,45
231,Dowry Death,09:42,"Kirari Suleman Nagar (28.8812, 77.0063)",Tuesday,Minor,12:44,School,42
232,Acid Attack,20:42,"Bhalswa Jahangir Pur (28.7931, 77.0292)",Sunday,Moderate,08:37,Apartment Complex,20
233,Eve Teasing,19:41,"Mandoli (28.4012, 77.1144)",Friday,Severe,23:06,Police Station,5
234,Stalking,15:47,"Kirari Suleman Nagar (28.4338, 77.0609)",Thursday,Moderate,23:38,Park,11
235,Stalking,18:58,"Deoli (28.5474, 77.1871)",Saturday,Moderate,10:03,Hospital,32
236,Human Trafficking,06:57,"Dallo Pura (28.813, 76.9307)",Friday,Severe,08:56,Mall,34
237,Dowry Death,20:35,"Karawal Nagar (28.8328, 77.1659)",Sunday,Minor,03:29,Mall,43
238,Honor Killing,16:07,"Deoli (28.6251, 77.1694)",Friday,Minor,00:01,Apartment Complex,46
239,Domestic Violence,14:01,"Mustafabad (28.4602, 77.2117)",Thursday,Minor,23:44,School,40
240,Dowry Death,03:06,"Deoli (28.671, 76.9353)",Saturday,Severe,04:58,School,45
241,Acid Attack,19:25,"Gokal Pur (28.5462, 76.8727)",Thursday,Moderate,15:52,Temple,42
242,Human Trafficking,06:07,"Mandoli (28.6957, 77.1973)",Wednesday,Moderate,05:04,Park,30
243,Sexual Harassment,17:08,"Delhi Cantonment (28.7383, 76.8301)",Thursday,Severe,04:29,School,15
244,Acid Attack,08:32,"Nangloi Jat (28.4067, 77.2955)",Monday,Moderate,08:42,School,41
245,Honor Killing,06:15,"Mustafabad (28.6695, 77.2722)",Sunday,Severe,05:27,Apartment Complex,33
246,Eve Teasing,10:14,"Burari (28.5588, 77.2127)",Tuesday,Severe,19:57,Temple,48
247,Dowry Death,01:41,"Kirari Suleman Nagar (28.8394, 76.8791)",Monday,Minor,07:25,Police Station,50
248,Dowry Death,23:55,"Bhalswa Jahangir Pur (28.4273, 77.1048)",Tuesday,Minor,00:28,Apartment Complex,44
249,Human Trafficking,11:03,"Mustafabad (28.6541, 76.8795)",Saturday,Moderate,20:29,Apartment Complex,9
250,Domestic Violence,17:55,"Dallo Pura (28.511, 77.1295)",Tuesday,Moderate,23:27,Market,33
251,Dowry Death,02:40,"Delhi Cantonment (28.7022, 77.2188)",Sunday,Severe,17:41,Apartment Complex,14
252,Sexual Harassment,02:59,"Kirari Suleman Nagar (28.5843, 77.2443)",Friday,Minor,00:29,Mall,9
253,Acid Attack,00:19,"Hastsal (28.7948, 77.273)",Tuesday,Minor,13:49,Temple,19
254,Sexual Harassment,00:19,"Kirari Suleman Nagar (28.6118, 76.8734)",Sunday,Minor,09:38,Mall,31
